,season_name,player,team,matches_played,goals,shots,xg,passes,completed_passes,key_passes,tackles,interceptions,recoveries,aerial_duels,fouls,yellow_cards,red_cards,dribbles_attempted,successful_dribbles,minutes_played,position,goals_p90,shots_p90,passes_p90,completed_passes_p90,key_passes_p90,tackles_p90,interceptions_p90,recoveries_p90,aerial_duels_p90,fouls_p90,dribbles_attempted_p90,successful_dribbles_p90,xg_p90,attempted_pass,pass_completion_pct,attempted_dribble,dribble_success_pct,took_shot,shot_conversion,xg_overperformance,position_group,yellow_cards_p90,red_cards_p90
0,2022,Lionel Andrés Messi Cuccittini,Argentina,7,9,34,7.6,371,306,16,15,0,34,0,11,0,0,36,26,721,Right Center Forward,1.1234396671289875,4.244105409153953,46.310679611650485,38.196948682385575,1.9972260748959778,1.8723994452149793,0.0,4.244105409153953,0.0,1.3730929264909848,4.49375866851595,3.245492371705964,0.9486823855755894,1,0.8247978436657682,1,0.7222222222222222,1,0.2647058823529412,1.4000000000000004,Forward,0.0,0.0
1,2022,Kylian Mbappé Lottin,France,7,9,32,5.02,233,180,9,6,1,30,0,8,0,0,50,30,693,Left Wing,1.1688311688311688,4.1558441558441555,30.25974025974026,23.376623376623375,1.1688311688311688,0.7792207792207793,0.12987012987012986,3.896103896103896,0.0,1.0389610389610389,6.4935064935064934,3.896103896103896,0.6519480519480518,1,0.7725321888412017,1,0.6,1,0.28125,3.9800000000000004,Forward,0.0,0.0
2,2018,Harry Kane,England,6,7,15,4.81,148,98,2,11,2,20,0,4,0,0,5,2,585,Left Center Forward,1.0769230769230769,2.3076923076923075,22.76923076923077,15.076923076923077,0.3076923076923077,1.6923076923076923,0.3076923076923077,3.076923076923077,0.0,0.6153846153846154,0.7692307692307693,0.3076923076923077,0.74,1,0.6621621621621622,1,0.4,1,0.4666666666666667,2.1900000000000004,Forward,0.0,0.0
3,1970,Jair Ventura Filho,Brazil,6,7,13,3.85,247,193,11,6,3,29,2,12,0,0,64,46,523,Right Midfield,1.2045889101338432,2.237093690248566,42.504780114722756,33.21223709369025,1.892925430210325,1.0325047801147227,0.5162523900573613,4.990439770554493,0.3441682600382409,2.0650095602294454,11.01338432122371,7.915869980879541,0.6625239005736138,1,0.7813765182186235,1,0.71875,1,0.5384615384615384,3.15,Midfielder,0.0,0.0
4,1958,Édson Arantes do Nascimento,Brazil,2,5,19,3.18,115,85,9,8,0,16,2,0,0,0,25,13,179,Left Center Forward,2.5139664804469275,9.553072625698324,57.82122905027933,42.737430167597765,4.5251396648044695,4.022346368715084,0.0,8.044692737430168,1.005586592178771,0.0,12.569832402234637,6.536312849162011,1.5988826815642458,1,0.7391304347826086,1,0.52,1,0.2631578947368421,1.8199999999999998,Forward,0.0,0.0
5,2018,Denis Cheryshev,Russia,5,5,14,1.9,92,53,1,7,3,8,0,7,0,0,7,5,392,Left Wing,1.1479591836734695,3.2142857142857144,21.122448979591837,12.168367346938776,0.2295918367346939,1.6071428571428572,0.6887755102040817,1.8367346938775513,0.0,1.6071428571428572,1.6071428571428572,1.1479591836734695,0.4362244897959184,1,0.5760869565217391,1,0.7142857142857143,1,0.35714285714285715,3.1,Forward,0.0,0.0
6,2022,Olivier Giroud,France,6,4,17,3.04,75,49,2,21,1,3,0,4,0,0,0,0,480,Center Forward,0.75,3.1875,14.0625,9.1875,0.375,3.9375,0.1875,0.5625,0.0,0.75,0.0,0.0,0.5700000000000001,1,0.6533333333333333,0,0.0,1,0.23529411764705882,0.96,Forward,0.0,0.0
7,2018,Kylian Mbappé Lottin,France,7,4,8,1.78,173,123,9,9,4,23,1,1,0,0,52,29,622,Right Wing,0.5787781350482315,1.157556270096463,25.032154340836012,17.79742765273312,1.3022508038585208,1.3022508038585208,0.5787781350482315,3.327974276527331,0.14469453376205788,0.14469453376205788,7.524115755627009,4.196141479099678,0.25755627009646304,1,0.7109826589595376,1,0.5576923076923077,1,0.5,2.2199999999999998,Forward,0.0,0.0
8,2018,Luka Modrić,Croatia,7,4,12,3.41,527,430,17,11,7,49,0,13,0,0,19,16,706,Right Center Midfield,0.509915014164306,1.529745042492918,67.1813031161473,54.81586402266289,2.1671388101983005,1.4022662889518414,0.8923512747875354,6.246458923512749,0.0,1.6572237960339944,2.4220963172804533,2.039660056657224,0.4347025495750709,1,0.8159392789373814,1,0.8421052631578947,1,0.3333333333333333,0.5899999999999999,Midfielder,0.0,0.0
9,1986,Diego Armando Maradona,Argentina,3,4,17,2.27,148,113,12,8,0,20,0,4,0,0,23,16,271,Left Center Forward,1.3284132841328413,5.645756457564576,49.15129151291513,37.52767527675277,3.985239852398524,2.6568265682656826,0.0,6.642066420664206,0.0,1.3284132841328413,7.638376383763838,5.313653136531365,0.7538745387453875,1,0.7635135135135135,1,0.6956521739130435,1,0.23529411764705882,1.73,Forward,0.0,0.0
10,1970,Édson Arantes do Nascimento,Brazil,6,4,32,4.33,253,211,22,24,3,28,2,26,0,0,26,13,533,Right Center Forward,0.6754221388367729,5.4033771106941835,42.72045028142589,35.628517823639775,3.7148217636022514,4.052532833020638,0.5065666041275797,4.727954971857411,0.33771106941838647,4.390243902439024,4.390243902439024,2.195121951219512,0.7311444652908067,1,0.83399209486166,1,0.5,1,0.125,-0.33000000000000007,Forward,0.0,0.0
11,2022,Julián Álvarez,Argentina,7,4,11,1.91,124,93,2,18,2,16,1,16,0,0,4,0,601,Left Center Forward,0.5990016638935108,1.6472545757071546,18.569051580698833,13.926788685524127,0.2995008319467554,2.6955074875207985,0.2995008319467554,2.3960066555740434,0.1497504159733777,2.3960066555740434,0.5990016638935108,0.0,0.28602329450915137,1,0.75,1,0.0,1,0.36363636363636365,2.09,Forward,0.0,0.0
12,2018,Antoine Griezmann,France,7,4,21,3.56,248,175,6,14,2,26,2,6,0,0,14,9,576,Center Attacking Midfield,0.625,3.28125,38.75,27.34375,0.9375,2.1875,0.3125,4.0625,0.3125,0.9375,2.1875,1.40625,0.55625,1,0.7056451612903226,1,0.6428571428571429,1,0.19047619047619047,0.43999999999999995,Midfielder,0.0,0.0
